"ID_echantillon";"Nom_scientifique";"Genre";"Espece";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"BD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD"
"12_6";"Tristaniopsis glauca";"Tristaniopsis";"glauca";12;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,34;18,23;7,92;18,32;1,65;255,05;15,93;0
"13_1";"Calophyllum inophyllum";"Calophyllum";"inophyllum";13;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,79;30;5,83;27,17;44,93;1123,85;12,52;0
"13_2";"Calophyllum inophyllum";"Calophyllum";"inophyllum";13;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50,46;39,91;6,3;128,79;69,93;1486,7;50,33;0
"13_3";"Calophyllum inophyllum";"Calophyllum";"inophyllum";13;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,3;18,92;5,83;13,12;10,2;393,6;4,46;0
"13_4";"Calophyllum inophyllum";"Calophyllum";"inophyllum";13;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,91;13,78;3,1;22,89;10,16;692,86;9,2;0
"13_5";"Calophyllum inophyllum";"Calophyllum";"inophyllum";13;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,89;22,04;4,88;25,97;11,42;720,66;11,57;0
"13_6";"Calophyllum inophyllum";"Calophyllum";"inophyllum";13;"G";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49,38;38,89;3,05;58,83;17,89;170,03;9,87;0
"14_1";"Santalum austrocaledonicum";"Santalum";"austrocaledonicum";14;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,98;8,34;1,61;4,99;1,76;483,12;0,83;0
"14_2";"Santalum austrocaledonicum";"Santalum";"austrocaledonicum";14;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,57;21,22;3,1;15,04;1,45;753,46;1,95;0
"14_3";"Santalum austrocaledonicum";"Santalum";"austrocaledonicum";14;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,97;37,99;12,32;11,13;2,73;781,06;1,54;0
"14_4";"Santalum austrocaledonicum";"Santalum";"austrocaledonicum";14;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,05;13,41;3,63;7,81;1,57;305,88;1,13;0
"14_5";"Santalum austrocaledonicum";"Santalum";"austrocaledonicum";14;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,4;13,48;5,75;9,69;1,1;1153,62;3,99;0
"14_6";"Santalum austrocaledonicum";"Santalum";"austrocaledonicum";14;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,56;15,46;2,87;24,15;0,92;1118,5;4,86;0
"15_1";"Syzygium cumini";"Syzygium";"cumini";15;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,65;6,11;1,56;8,84;2,01;552,67;3;0
"15_2";"Syzygium cumini";"Syzygium";"cumini";15;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28,03;22,91;1,6;30,58;20,2;1264,39;5,7;0
"15_3";"Syzygium cumini";"Syzygium";"cumini";15;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,42;22,26;7,99;11,17;12,14;421,02;1,79;0
"15_4";"Syzygium cumini";"Syzygium";"cumini";15;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,16;18,7;1,78;26,63;8,1;947,71;9,34;0
"15_5";"Syzygium cumini";"Syzygium";"cumini";15;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,33;17,17;2,6;19,55;7,7;991,92;8,76;0
"15_6";"Syzygium cumini";"Syzygium";"cumini";15;"I";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,32;12,5;0,91;16,28;8,47;677,07;3,36;0
"16_1";"Hibiscus tiliaceus";"Hibiscus";"tiliaceus";16;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,74;23,93;8,1;28,15;16,24;1329,22;4,28;0
"16_2";"Hibiscus tiliaceus";"Hibiscus";"tiliaceus";16;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,49;82,69;22,75;36,91;52,73;1913,29;7,69;0
"16_3";"Hibiscus tiliaceus";"Hibiscus";"tiliaceus";16;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,32;61,65;19,22;21,67;103,73;1808,73;6,83;0
"16_4";"Hibiscus tiliaceus";"Hibiscus";"tiliaceus";16;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,31;25,42;7,93;8,42;17,53;856,91;3,02;0
