"";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"BD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD";"Nb_FI"
"37";"Glochidion billardierei";50;"";29,5;5;59,9;9,17;0,83;9,17;25,83;25,83;736,95;79,17;79,17;1;10;2,71;133,25;122,91;431,26;0,58;11,87;97,76;134,99;33,67;42,63;429,28;18,73;8678,84;51,99;1,65;6
"38";"Grevillea rubiginosa";4;"M";31,8;4,2;54,9;8,33;1,67;8,33;68,67;68,67;750,45;55,83;55,83;1;11,83;2,94;75,33;63,42;571,11;0,75;13,48;76,2;100,88;17,7;41,22;500,52;15,56;4484,84;113,39;2,12;6
"39";"Guioa villosa";32;"M";27,4;1,2;70,9;9,25;0,75;9,25;36;36;759;84,17;84,17;1;6,5;4,2;71,57;56,55;583,41;0,44;8,05;23,35;103,97;60,7;21,25;492,52;3,52;6775,74;75,75;1,06;6
"40";"Hernandia cordigera";30;"";27,4;1,2;70,9;9;1;9;17,8;17,8;671,2;15;15;1;2,8;7,84;237,41;215,51;296,8;0,83;18,18;9,49;208,93;175,19;11,06;325,88;85,35;7194,12;46,88;1,06;5
"41";"Hibbertia lucens";10;"M";28,32;2,25;77,32;9,08;0,92;9,08;43;43;796,5;60,83;60,83;1;9,5;4,72;96,72;77,7;508,9;1,02;11,97;54,32;200,94;75,98;42,26;337,08;8,81;7141,27;48,76;0,88;6
"42";"Hibiscus tiliaceus V";16;"";28,5;3,2;68,1;9;1;9;42,33;42,33;719,02;75,83;75,83;1;5,17;4,49;150,34;133,44;401,54;0,62;12,61;16,77;193,67;101,02;31,85;343,83;152,3;12595,53;28,44;1,24;6
"43";"Lepidocupania arcuata";45;"L";25,7;1,2;76,8;8,67;1,33;8,67;29,17;29,17;776,28;56,67;56,67;1;8;2,18;71,54;59,47;585,69;0,57;9,78;28,58;92,47;22,02;36,58;519,91;20,82;7356,39;71,45;0,77;6
"44";"Leucaena leucocephala";18;"I";26,3;1,5;81,7;9,5;0,5;9,5;27;27;655,27;76,67;76,67;1;16,33;2,67;117,83;98,35;465,02;0,51;11,75;77,67;284,62;24,06;66,45;277,47;0,26;24114,61;12,34;0,63;6
"45";"Macaranga alchorneoides";65;"";31,8;5;76,6;9;1;9;26,67;26,67;748,5;80;80;1;0,17;6,02;139,37;122,34;427,19;0,64;12,41;45;189,72;79,98;39,05;351,67;239,12;7923,69;47,02;1,1;6
"46";"Mangifera indica";1;"I";30,2;5,7;75,1;8,83;1,17;8,83;19,33;19,33;758,95;57,5;57,5;1;7;NA;155,04;128,28;403,6;0,4;7,02;7,93;152,63;119,4;13,32;404,35;56,78;10450,65;41,67;1,07;6
"47";"Melaleuca quinquenervia";23;"";28,1;3;70,3;9,25;0,75;9,25;63,17;63,17;780,03;68,33;68,33;1;10,33;3,27;125,17;100,82;446,79;0,64;12,88;26,82;120,78;65,62;24,94;454,41;10,01;4901,04;94,73;1,13;6
"48";"Metrosideros laurifolia";11;"M";28,32;2,67;77,32;7,83;2,17;7,83;56,5;56,5;681,17;26,67;26,67;1;7,17;6,67;78,63;66,55;561,32;1,06;15,79;20,82;137,44;106,08;13,32;422,93;54,02;3766,61;114,9;0,88;6
"49";"Montrouziera sphaeroidea";67;"";31,8;5;76,6;5,42;4,58;5,42;25,83;25,83;728,67;23,33;23,33;1;8,67;6,94;102,02;87,56;495,73;0,77;13,95;8,17;195,88;156,3;13,3;342,91;27,51;6408,46;56,17;1,1;6
"50";"Morinda citrifolia";69;"";34,2;0;68,9;2,42;7,08;2,92;3,83;4,33;220,5;1,67;3,17;0,33;3,17;9,67;179,42;143,64;369,1;0,58;11,72;16,53;334,57;218,3;27,08;231,42;119,53;14147,35;16,95;1,67;2
"51";"Myodocarpus fraxinifolius";37;"F";26,6;1,5;65,3;9,42;0,58;9,42;68;68;782,48;91,67;91,67;1;0,5;8,08;103,27;90,48;496,1;0,76;15,36;17,39;140,74;91,97;20,38;417,76;21,3;8029,22;53,55;1,21;6
"52";"Neuburgia novocaledonica";27;"F";26,4;4;67,1;4,75;0,5;9,5;6,33;11,33;249,1;16,67;32,5;0,33;2,5;6,18;193,87;165,12;350,04;0,58;12,36;33,76;397,04;257,35;28,29;203,35;147,76;15496,63;13,54;1,13;2
"53";"Pinus caribea";24;"I";28,1;3;70,3;9,5;0,5;9,5;103,33;103,33;902;77,5;77,5;1;4,5;8;86,4;78,19;537,57;0,71;15,29;9,66;129,04;110,91;7,94;438,61;4,91;7610,11;58,24;1,13;6
