"";"ID_echantillon";"ID_espece";"Date";"heure";"Lieu";"Longitude";"Latitude";"Remarques";"Nom.verna";"Nom_scientifique";"Famille";"Habitat";"Milieu_recolte";"Statut";"Type.feuille";"Forme.feuille";"Texture.feuille";"Type.ecorce";"Forme.croissance";"Inflammabilite.presume";"T_ambiante";"Vent";"Humidite";"T_grill";"DI";"DI_test";"MT";"temps_total";"BB";"BB_test";"remarque";"longeur";"largeur";"hauteur";"masse";"score_DI";"BT";"BT_test";"FI";"SD";"Masse_T_T0";"Masse_T_T24";"Masse_T_Tsec";"Longeur_T_cm";"diametre_T_1_mm";"diametre_T_2_mm";"Nb_ramifications";"Gmin";"TV";"TD";"TMC_t0";"TMC_t24";"TDMC";"TDIA";"ID_Feuille";"Masse_F_T0";"Masse_F_T24";"Masse_F_Tsec";"Surface_F";"LMC_t0";"LMC_t24";"PEF";"LDMC";"SLA";"LT"
"31";"02_1";2;"26-mars";"10h26";"IRD";166,443348;-22,300168;"";"Badamier";"Terminalia catappa";"Combretaceae";"N";"N";"Introduite";"Simple";"Obovale";"Douce";"Crevacée";"Arbre";"Moyenne";31,7;2,5;66;153;9;1;713;134;15;15;"";70;NA;NA;NA;9;13;13;1;NA;15,466;14,419;7,593;15,16;10,02;12,52;2;16,30830205;26,84;0,58;103,69;89,9;490,95;11,27;"02_1_1";14,226;10,932;3,915;574,329;263,371647509579;179,23;23,15;275,2;14669,96;18,76
"32";"02_1";2;"26-mars";"10h26";"IRD";166,443348;-22,300168;"";"Badamier";"Terminalia catappa";"Combretaceae";"N";"N";"Introduite";"Simple";"Obovale";"Douce";"Crevacée";"Arbre";"Moyenne";31,7;2,5;66;153;9;1;713;134;15;15;"";70;NA;NA;NA;9;13;13;1;NA;15,466;14,419;7,593;15,16;10,02;12,52;2;16,30830205;26,84;0,58;103,69;89,9;490,95;11,27;"02_1_2";11,732;8,719;3,719;459,303;215,461145469212;134,44;25,68;317;12350,17;25,67
"33";"02_1";2;"26-mars";"10h26";"IRD";166,443348;-22,300168;"";"Badamier";"Terminalia catappa";"Combretaceae";"N";"N";"Introduite";"Simple";"Obovale";"Douce";"Crevacée";"Arbre";"Moyenne";31,7;2,5;66;153;9;1;713;134;15;15;"";70;NA;NA;NA;9;13;13;1;NA;15,466;14,419;7,593;15,16;10,02;12,52;2;16,30830205;26,84;0,58;103,69;89,9;490,95;11,27;"02_1_3";4,97;3,21;1,463;218,818;239,712918660287;119,41;35,41;294,37;14956,8;19,68
"34";"02_1";2;"26-mars";"10h26";"IRD";166,443348;-22,300168;"";"Badamier";"Terminalia catappa";"Combretaceae";"N";"N";"Introduite";"Simple";"Obovale";"Douce";"Crevacée";"Arbre";"Moyenne";31,7;2,5;66;153;9;1;713;134;15;15;"";70;NA;NA;NA;9;13;13;1;NA;15,466;14,419;7,593;15,16;10,02;12,52;2;16,30830205;26,84;0,58;103,69;89,9;490,95;11,27;"02_1_4";6,801;4,995;2,111;297,862;222,169587873046;136,62;26,55;310,4;14110;22
"35";"02_1";2;"26-mars";"10h26";"IRD";166,443348;-22,300168;"";"Badamier";"Terminalia catappa";"Combretaceae";"N";"N";"Introduite";"Simple";"Obovale";"Douce";"Crevacée";"Arbre";"Moyenne";31,7;2,5;66;153;9;1;713;134;15;15;"";70;NA;NA;NA;9;13;13;1;NA;15,466;14,419;7,593;15,16;10,02;12,52;2;16,30830205;26,84;0,58;103,69;89,9;490,95;11,27;"02_1_5";7,487;5,672;2,465;326,908;203,732251521298;130,1;24,24;329,24;13261,99;24,83
"36";"02_2";2;"26-mars";"10h34";"IRD";166,444102;-22,300161;"";"Badamier";"Terminalia catappa";"Combretaceae";"N";"N";"Introduite";"Simple";"Obovale";"Douce";"Crevacée";"Arbre";"Moyenne";31,7;2,5;66;166;8,5;1,5;513;143;25;25;"";70;NA;NA;NA;8,5;22;22;1;NA;3,954;3,34;0,795;16,2;5,22;5,34;2;7,372685161;13,44;0,29;397,36;320,13;201,06;5,28;"02_2_1";6,48;5,25;2,256;266,433;187,234042553192;132,71;18,98;348,15;11809,97;29,48
"37";"02_2";2;"26-mars";"10h34";"IRD";166,444102;-22,300161;"";"Badamier";"Terminalia catappa";"Combretaceae";"N";"N";"Introduite";"Simple";"Obovale";"Douce";"Crevacée";"Arbre";"Moyenne";31,7;2,5;66;166;8,5;1,5;513;143;25;25;"";70;NA;NA;NA;8,5;22;22;1;NA;3,954;3,34;0,795;16,2;5,22;5,34;2;7,372685161;13,44;0,29;397,36;320,13;201,06;5,28;"02_2_2";4,797;3,839;1,679;186,535;185,705777248362;128,65;19,97;350,01;11109,89;31,5
"38";"02_2";2;"26-mars";"10h34";"IRD";166,444102;-22,300161;"";"Badamier";"Terminalia catappa";"Combretaceae";"N";"N";"Introduite";"Simple";"Obovale";"Douce";"Crevacée";"Arbre";"Moyenne";31,7;2,5;66;166;8,5;1,5;513;143;25;25;"";70;NA;NA;NA;8,5;22;22;1;NA;3,954;3,34;0,795;16,2;5,22;5,34;2;7,372685161;13,44;0,29;397,36;320,13;201,06;5,28;"02_2_3";4,368;3,306;1,55;182,949;181,806451612903;113,29;24,31;354,85;11803,16;30,06
"39";"02_2";2;"26-mars";"10h34";"IRD";166,444102;-22,300161;"";"Badamier";"Terminalia catappa";"Combretaceae";"N";"N";"Introduite";"Simple";"Obovale";"Douce";"Crevacée";"Arbre";"Moyenne";31,7;2,5;66;166;8,5;1,5;513;143;25;25;"";70;NA;NA;NA;8,5;22;22;1;NA;3,954;3,34;0,795;16,2;5,22;5,34;2;7,372685161;13,44;0,29;397,36;320,13;201,06;5,28;"02_2_4";7,832;5,69;2,637;284,38;197,004171406902;115,78;27,35;336,7;10784,22;31,22
"40";"02_2";2;"26-mars";"10h34";"IRD";166,444102;-22,300161;"";"Badamier";"Terminalia catappa";"Combretaceae";"N";"N";"Introduite";"Simple";"Obovale";"Douce";"Crevacée";"Arbre";"Moyenne";31,7;2,5;66;166;8,5;1,5;513;143;25;25;"";70;NA;NA;NA;8,5;22;22;1;NA;3,954;3,34;0,795;16,2;5,22;5,34;2;7,372685161;13,44;0,29;397,36;320,13;201,06;5,28;"02_2_5";6;4,89;1,57;240,15;282,165605095541;211,46;18,5;261,67;15296,18;17,11
