"";"ID_echantillon";"T_ambiante";"Vent";"Humidite";"T_grill";"DI";"DI_test";"MT";"temps_total";"BB";"BB_test";"remarque";"longeur";"largeur";"hauteur";"masse";"score_DI";"BT";"BT_test";"SD"
"134";"23_2";28,1;3;70,3;174,8;9,5;0,5;794,6;195;55;55;"";70;65;24;250;9,5;74;74;4,37
"135";"23_3";28,1;3;70,3;161,4;9;1;798;177;65;65;"";70;72;37;200;9;56;56;2,05
"136";"23_4";28,1;3;70,3;175;9,5;0,5;790,6;177;90;90;"";70;79;28;225;9,5;56;56;2,78
"137";"23_5";28,1;3;70,3;163;9;1;741,6;192;70;70;"";70;78;47;250;9;71;71;1,86
"138";"23_6";28,1;3;70,3;167,9;9,5;0,5;796,2;181;50;50;"";70;79;10;150;9,5;60;60;5,18
"139";"24_1";28,1;3;70,3;176;9,5;0,5;938;283;90;90;"";70;44;15;225;9,5;162;162;9,3
"140";"24_2";28,1;3;70,3;160,7;9,5;0,5;934,7;170;45;45;"";70;61;20;250;9,5;50;50;5,59
"141";"24_3";28,1;3;70,3;157,6;9,5;0,5;953,5;287;95;95;"";70;47;23;475;9,5;166;166;11,99
"142";"24_4";28,1;3;70,3;162,2;9,5;0,5;772,7;214;95;95;"";70;42;15;175;9,5;94;94;7,58
"143";"24_5";28,1;3;70,3;173;9,5;0,5;870,9;190;50;50;"";70;78;28;475;9,5;70;70;5,93
"144";"24_6";28,1;3;70,3;164,1;9,5;0,5;942,2;198;90;90;"";70;43;25;300;9,5;78;78;7,61
"145";"25_1";26,4;4;67,1;175,6;9;1;704,5;154;50;50;"";70;85;13;325;9;33;33;8,02
"146";"25_2";26,4;4;67,1;183,6;9;1;623,4;146;95;95;"";70;68;18;175;9;25;25;3,9
"147";"25_3";26,4;4;67,1;155,8;8,5;1,5;684,7;144;60;60;"";70;71;10;175;8,5;22;22;6,72
"148";"25_4";26,4;4;67,1;184,6;9;1;688,9;156;55;55;"";70;74;17;425;9;35;35;9,22
"149";"25_5";26,4;4;67,1;176,4;9;1;690,1;139;20;20;"";70;83;11;300;9;18;18;8,97
"150";"25_6";26,4;4;67,1;185,8;9;1;720,4;135;10;10;"";70;66;10;150;9;14;14;6,2
"151";"26_1";26,4;4;67,1;192,8;9,5;0,5;718,5;152;80;80;"";70;60;20;150;9,5;32;32;3,41
"152";"26_2";26,4;4;67,1;156,3;9,5;0,5;812,8;145;90;90;"";70;54;20;125;9,5;24;24;3,16
"153";"26_3";26,4;4;67,1;194,4;9,5;0,5;764,6;181;80;80;"";70;80;16;125;9,5;60;60;2,66
"154";"26_4";26,4;4;67,1;163;9,5;0,5;806,2;148;70;70;"";70;68;30;125;9,5;28;28;1,67
"155";"26_5";26,4;4;67,1;159,6;9,5;0,5;805,9;181;70;70;"";70;95;25;225;9,5;60;60;2,58
"156";"26_6";26,4;4;67,1;173,7;9,5;0,5;806;139;90;90;"";70;58;21;100;9,5;18;18;2,24
"157";"27_1";26,4;4;67,1;157;9,5;0,5;360,5;134;20;20;"";70;63;12;125;9,5;14;14;4,51
"159";"27_3";26,4;4;67,1;159,3;9,5;0,5;534,1;134;25;25;"";70;65;25;150;9,5;14;14;2,52
"163";"28_1";26,4;4;67,1;158,6;9,5;0,5;712,2;173;95;95;"";70;54;25;75;9,5;52;52;1,52
"164";"28_2";26,4;4;67,1;180,2;9,5;0,5;547,9;144;95;95;"";70;62;38;100;9,5;24;24;1,16
"165";"28_3";26,4;4;67,1;179,3;9,5;0,5;640,1;135;90;90;"";70;60;17;50;9,5;14;14;1,34
"166";"28_4";26,4;4;67,1;177,1;9,5;0,5;823,9;150;70;70;"";70;65;8;50;9,5;30;30;2,62
"167";"28_5";26,4;4;67,1;186,5;9,5;0,5;841,5;148;90;90;"";70;92;28;175;9,5;28;28;1,85
"168";"28_6";26,4;4;67,1;152,9;9,5;0,5;659,8;141;90;90;"";70;90;16;125;9,5;20;20;2,37
"169";"29_1";27,4;1,2;70,9;171,7;9;1;411,4;133;10;10;"";70;68;13;200;9;12;12;6,17
"170";"29_2";27,4;1,2;70,9;182,2;9;1;624,1;192;60;60;"Fruits sec";70;66;13;175;9;71;71;5,56
"171";"29_3";27,4;1,2;70,9;168,5;9,5;0,5;529,2;137;20;20;"13h50";70;70;11;150;9,5;16;16;5,32
"172";"29_4";27,4;1,2;70,9;182,4;9;1;460,3;137;5;5;"";70;93;15;225;9;16;16;4,4
"173";"29_5";27,4;1,2;70,9;165,6;9,5;0,5;614,9;156;30;30;"";70;72;11;225;9,5;36;36;7,75
"174";"29_6";27,4;1,2;70,9;154,8;9;1;273;135;5;5;"";70;83;10;225;9;14;14;7,4
"175";"30_1";27,4;1,2;70,9;188,9;9;1;617,5;138;10;10;"fleur";70;52;14;350;9;17;17;13,12
"176";"30_2";27,4;1,2;70,9;184,5;9;1;717,1;143;15;15;"fleur";70;71;21;325;9;22;22;5,95
"177";"30_3";27,4;1,2;70,9;155,6;9;1;612,3;135;10;10;"fleur";70;46;20;250;9;14;14;7,41
"178";"30_4";27,4;1,2;70,9;154,3;9;1;746,9;140;25;25;"fleur";70;58;21;275;9;19;19;6,16
"180";"30_6";27,4;1,2;70,9;175,3;9;1;662,2;138;15;15;"fleur";70;67;14;225;9;17;17;6,54
"181";"31_1";27,4;1,2;70,9;185,7;9,5;0,5;385,5;133;5;5;"";70;34;6;175;9,5;12;12;23,41
