"";"ID_echantillon";"DI";"BT";"MT";"BB";"Nb_ramifications";"SV";"SD";"TMC_t0";"TMC_t24";"PET";"TDMC";"TD";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"62";"11_2";8;17;500;5;9;0,09;4,26;79,92;67,81;6,73;555,81;1,06;24,57;120,51;82,21;17,39;453,63;41,6;3081,08;0,15
"63";"11_3";8,5;132;845;75;5;0,09;6,47;83,66;71,27;6,75;544,49;1,03;20,73;127,6;85,4;18,56;439,44;50,23;3767,82;0,12
"64";"11_4";8;23;630;5;11;0,16;5,29;66,23;55,85;6,25;601,59;1,03;10,59;158,14;142,22;6,17;387,8;45,84;4262,67;0,09
"65";"11_5";9;43;824;30;2;0,04;8,11;84,81;68,51;8,82;541,08;0,87;29,07;157,15;109,96;18,38;388,98;104,36;4148,5;0,09
"66";"11_6";8;20;479;5;9;0,06;8,75;66,61;56,58;6,02;600,21;1,27;21,36;126,74;100,28;11,69;441,17;47,14;3295,12;0,13
"67";"12_1";9,5;88;818;95;7;0,1;2,84;59,79;41,28;11,58;625,82;0,72;19,77;88,28;49,32;20,87;531,54;15,21;3874,16;0,14
"68";"12_2";9;56;806;85;9;0,05;5,32;55,21;45,7;6,13;644,27;1,07;16,12;89,7;57;17,32;527,73;11,94;3267,43;0,16
"69";"12_3";9;43;785;95;8;0,03;5,15;54,69;43,9;6,98;646,45;0,79;23,61;93,26;40,17;27,84;518,27;19,41;3488,21;0,15
"70";"12_4";9;96;705;65;7;0,1;2,6;47,02;38,24;5,97;680,19;0,86;21,41;97,47;57,64;20,14;506,46;18,62;3940,4;0,13
"71";"12_5";9;53;717;85;10;0,08;2,96;62,1;47,16;9,22;616,9;0,92;19,04;97,59;71,95;12,98;506,14;19,95;4151,08;0,12
"72";"12_6";9;54;824;92;8;0,06;3,12;48,02;41,43;4,45;675,61;0,8;20,45;83,78;25,1;32,08;544,63;9,9;3435,57;0,16
"73";"13_1";9,5;24;707,1;75;1;0,01;18,75;107,37;86,7;9,97;482,22;0,6;13;163,4;126,83;14,14;381,2;130,61;7128,59;0,06
"74";"13_2";9;57;675,8;80;2;0,02;9,52;138;118,06;8,38;420,17;0,62;5,89;138,19;93,62;18,3;441,61;126,78;6440,27;0,08
"75";"13_3";9,5;24;475;75;2;0,01;13,89;149,39;128,71;8,29;400,98;0,65;10,3;150,06;101,79;19,39;400,26;114,27;7261,1;0,06
"76";"13_4";9;39;642,3;75;0;0,01;21,43;117,63;95,87;10;459,5;0,52;4,43;140,76;116,95;9,87;416,41;92,95;6738,59;0,06
"77";"13_5";9;24;612,7;75;3;0,02;7,89;122,5;105,37;7,7;449,43;0,62;12,75;128,28;85,96;18,74;439,32;86,23;6484,55;0,07
"78";"13_6";1;4;400;2;6;0,05;5,85;116,62;105,83;4,98;461,64;1;3,65;162,14;135,14;10,03;390,34;77,87;6473,94;0,06
