"ID_echantillon";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"SD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"14_2";"Santalum austrocaledonicum";14;"G";28,5;3,2;68,1;9,5;0,5;9,5;30;30;705;40;40;1;9;4,95;73,62;49,54;575,96;0,36;6,98;11,77;236,63;167,43;20,63;297,66;7,67;8663,29;0,03
"14_3";"Santalum austrocaledonicum";14;"G";28,5;3,2;68,1;9;1;9;20;20;590,3;45;45;1;9;1,38;97,96;77,49;505,15;0,46;8,56;16,51;247,98;143,31;29,79;287,73;10,27;10945,08;0,03
"14_4";"Santalum austrocaledonicum";14;"G";28,5;3,2;68,1;9;1;9;14;14;449;10;10;1;12;4,79;84,06;60,47;543,31;0,62;12,15;19,9;177,71;103,95;26,61;360,3;6,96;8819,58;0,04
"14_5";"Santalum austrocaledonicum";14;"G";28,5;3,2;68,1;9;1;9;53;53;671,2;30;30;1;9;2,62;81,38;59,79;551,32;0,67;11,59;36,39;257,77;178,97;21,89;279,78;8,46;8414,46;0,03
"14_6";"Santalum austrocaledonicum";14;"G";28,5;3,2;68,1;8,5;1,5;8,5;34;34;574,1;10;10;1;14;2,49;94,56;74,14;513,97;0,57;10,4;23,4;209,72;117,7;29,66;324,22;5,42;12180,13;0,03
"15_1";"Syzygium cumini";15;"N";28,5;3,2;68,1;9,5;0,5;9,5;34;34;678,4;85;85;1;3;1,94;104,06;81,29;490,05;0,41;7,63;9,92;174,55;136,3;13,91;364,41;72,66;9944,57;0,04
"15_2";"Syzygium cumini";15;"N";28,5;3,2;68,1;9;1;9;20;20;823,6;70;70;1;8;2,99;109,2;89,42;478,01;0,61;9,88;14,9;212,11;177,34;11,09;321,78;77,84;12015,2;0,03
"15_3";"Syzygium cumini";15;"N";28,5;3,2;68,1;9;1;9;37;37;687;30;30;1;2;1,79;128,76;97,57;437,14;0,39;6,87;9,2;204,81;156,14;15,92;328,29;62,44;12133,99;0,03
"15_4";"Syzygium cumini";15;"N";28,5;3,2;68,1;9,5;0,5;9,5;26;26;716;85;85;1;5;4,31;109,67;78,42;476,93;0,35;7,12;24,76;137,41;113,09;10,33;422,65;93,39;7699,41;0,06
"15_5";"Syzygium cumini";15;"N";28,5;3,2;68,1;9,5;0,5;9,5;16;16;660,3;65;65;1;3;4,25;110,64;76,33;474,74;0,32;6,38;26,29;157,6;130,3;10,69;388,94;61,67;8485,8;0,05
"15_6";"Syzygium cumini";15;"N";28,5;3,2;68,1;9,5;0,5;9,5;22;22;785,6;45;45;1;6;4,38;126,94;94,24;440,65;0,49;9,36;4,87;200,5;165,45;11,66;333,1;57,36;11104,66;0,03
"16_1";"Hibiscus tiliaceus V";16;"G";28,5;3,2;68,1;9,5;0,5;9,5;30;30;708,5;75;75;1;3;3,34;164,06;148,57;378,7;0,51;10,28;25,54;186,28;63,1;42,92;351,09;172,35;12611,67;0,03
"16_2";"Hibiscus tiliaceus V";16;"G";28,5;3,2;68,1;9;1;9;74;74;736,4;65;65;1;7;4,86;134,78;117,59;425,92;0,69;12,91;22,43;197,36;96,96;34,88;339,54;118,6;12174,69;0,03
"16_3";"Hibiscus tiliaceus V";16;"G";28,5;3,2;68,1;9,5;0,5;9,5;32;32;689,8;65;65;1;5;5,43;181,2;164,48;355,62;0,65;13,46;10,85;185,43;106,75;27,96;351,43;188,38;12091,53;0,03
