ID_echantillon;T_ambiante;Vent;Humidite;T_grill;DI;DI_test;MT;temps_total;BB;BB_test;remarque;longeur;largeur;hauteur;masse
34_3;28,3;3;75,1;168;0,5;0,5;711,4;152;65;65;;70;57;11;150
34_4;28,3;2;75,1;184,8;1;1;676,1;147;60;60;;70;56;6;100
34_5;25,7;1,2;76,8;196,7;1;1;789,2;143;40;40;;70;42;15;75
34_6;25,7;1,2;76,8;164,5;0,5;0,5;803,5;148;70;70;;70;49;18;100
35_1;28,3;2;75,1;191,6;1;1;768,2;146;90;90;;70;82;14;200
35_2;28,3;2;75,1;187,7;0,5;0,5;489,8;143;50;50;;70;65;8;125
35_3;28,3;2;75,1;189,7;1;1;829,8;145;95;95;;70;68;14;250
35_4;28,3;3;75,1;174,7;1;1;800,8;149;90;90;;70;90;16;175
35_5;28,3;2;75,1;191;0,5;0,5;777,6;153;85;85;;70;57;7;175
35_6;28,3;3;75,1;164,1;1;1;774,8;163;80;80;;70;79;17;200
36_1;26,6;1,5;65,3;165,1;1,5;1,5;226;135;5;5;;70;72;12;300
36_2;26,6;1,5;65,3;155,9;1,5;1,5;519,2;136;5;5;;70;82;19;275
36_3;26,6;1,5;65,3;151,2;1;1;592,1;151;20;20;;70;70;18;325
36_4;26,6;1,5;65,3;162,3;1;1;595;144;10;10;;70;65;19;325
36_5;26,6;1,5;65,3;178,3;2;2;225,7;134;10;10;;70;67;26;275
36_6;26,6;1,5;65,3;182,8;2;2;538,1;149;20;20;;70;63;14;225
37_1;26,6;1,5;65,3;154,7;0,5;0,5;820,1;185;80;80;;70;89;11;200
37_2;26,6;1,5;65,3;180,4;1;1;743,7;163;95;95;;70;89;13;150
37_3;26,6;1,5;65,3;154;0,5;0,5;786,5;268;95;95;;70;78;10;400
37_4;26,6;1,5;65,3;176,5;0,5;0,5;758;152;95;95;;70;107;7;225
37_5;26,6;1,5;65,3;154,9;0,5;0,5;823,1;177;95;95;;70;80;7;175
37_6;26,6;1,5;65,3;179,3;0,5;0,5;763,5;186;90;90;;70;79;8;200
38_1;26,6;1,5;65,3;172,2;1;1;699,9;181;45;45;;70;98;17;275
38_2;26,6;1,5;65,3;183,3;2,5;2,5;667,9;132;25;25;;70;110;14;150
38_3;26,6;1,5;65,3;171,8;3;3;617,6;196;30;30;;70;116;34;525
38_4;26,6;1,5;65,3;176,5;3;3;701,2;245;50;50;;70;110;23;600
38_5;26,6;1,5;65,3;176,5;3;3;818;251;60;60;;70;92;26;400
38_6;26,6;1,5;65,3;169,1;3;3;881,3;253;95;95;;70;96;42;575
39_1;26,6;1,5;65,3;167,3;3;3;801,4;163;25;25;;70;98;13;250
39_2;26,6;1,5;65,3;164,8;1;1;753;143;30;30;;70;50;23;200
39_3;26,6;1,5;65,3;171,3;1;1;713,9;159;40;40;;70;56;20;200
39_4;26,6;1,5;65,3;182,6;1;1;756,3;143;50;50;;70;49;21;100
39_5;26,6;1,5;65,3;187,2;2;2;695,6;165;45;45;;70;48;23;175
39_6;26,6;1,5;65,3;184,3;10;10;150;130;0;0;vide au dessus de la flamme;70;40;28;100
40_1;27,4;1,4;75;195,3;0,5;0,5;636,1;133;30;30;;70;72;13;75
40_2;27,4;1,4;75;174,9;1;1;670,5;140;20;20;;70;69;18;100
40_3;27,4;1,4;75;168,2;0,5;0,5;761,6;143;25;25;;70;59;20;75
40_4;27,4;1,4;75;177;0,5;0,5;744;134;20;20;;70;74;10;75
40_5;27,4;1,4;75;185,1;1;1;755,4;142;20;20;;70;62;15;75
40_6;27,4;1,4;75;174,4;0,5;0,5;692,3;154;85;85;;70;62;15;75
41_1;27,4;1,4;75;181;0,5;0,5;503;135;35;35;;70;56;12;50
41_2;27,4;1,4;75;192,7;0,5;0,5;695,1;142;50;50;;70;52;33;75
41_3;27,4;1,4;75;173,3;0,5;0,5;313;134;20;20;;70;46;14;25
41_4;27,4;1,4;75;174,3;0,5;0,5;487,2;137;70;70;;70;41;22;50
41_5;27,4;1,4;75;194,8;1;1;663,9;137;30;30;;70;67;33;125
41_6;27,4;1,4;75;178,8;1;1;451,6;134;35;35;;70;57;22;100
42_1;27,4;1,4;75;163,6;0,5;0,5;691,3;138;35;35;;70;60;14;75
42_2;27,4;1,4;75;190,6;3;3;678;131;15;15;;70;54;29;150
42_3;27,4;1,4;75;186,5;1;1;723,5;141;25;25;;70;62;27;100
42_4;27,4;1,4;75;187,5;1;1;692,7;133;15;15;;70;90;31;175
42_5;27,4;1,4;75;187,3;1;1;256;131;5;5;vide au dessus de la flamme;70;66;13;75
42_6;27,4;1,4;75;179;1;1;397,9;133;10;10;;70;94;21;100
43_1;27,4;1,4;75;167,7;1;1;669,6;182;65;65;branche avec fruits;70;59;20;375
43_2;27,4;1,4;75;172;0,5;0,5;700,4;155;60;60;;70;78;54;150
43_3;27,4;1,4;75;188,5;0,5;0,5;585,9;138;65;65;;70;100;28;125
43_4;27,4;1,4;75;176,1;0,5;0,5;743,4;159;50;50;;70;104;31;200
43_5;27,4;1,4;75;170,7;1;1;635,1;133;15;15;;70;70;16;100
43_6;27,4;1,4;75;181,3;0,5;0,5;632,3;206;70;70;;70;70;33;125
44_1;25,7;1,2;76,8;174,6;0,5;0,5;205;130;15;15;;70;20;6;5
44_2;25,7;1,2;76,8;169,3;0,5;0,5;713,9;139;45;45;;70;23;7;5
44_3;25,7;1,2;76,8;183,6;1;1;595,2;152;15;15;;70;50;6;25
44_4;25,7;1,2;76,8;166;1;1;688,3;142;45;45;;70;31;12;25
44_5;25,7;1,2;76,8;177,6;1;1;613,9;145;40;40;Chalumeau faible;70;29;8;25
44_6;25,7;1,2;76,8;184;1;1;665,9;137;20;20;Chalumeau faible;70;66;40;25
45_1;25,7;1,2;76,8;190,8;1;1;752,3;165;90;90;;70;63;20;100
45_2;25,7;1,2;76,8;187;1,5;1,5;751,9;150;25;25;Chalumeau faible;70;50;35;100
45_3;25,7;1,2;76,8;176,6;1,5;1,5;798,4;144;30;30;;70;59;21;125
45_4;25,7;1,2;76,8;183,6;1;1;848;150;80;80;;70;34;26;100
45_5;25,7;1,2;76,8;183;1;1;666,2;143;25;25;;70;60;17;75
45_6;25,7;1,2;76,8;196,8;2;2;840,9;152;90;90;feuilles déjà seches dessus;70;62;29;100
46_1;24,1;2,4;64,2;159,5;0,5;0,5;649,1;137;35;35;changement gaz;70;48;30;150
46_2;24,1;2,4;64,2;164;0,5;0,5;564,2;146;30;30;;70;57;38;150
46_3;24,1;2,4;64,2;178,4;0,5;0,5;505,4;137;40;40;;70;63;26;100
46_4;24,1;2,4;64,2;173,7;0,5;0,5;674,2;145;30;30;;70;80;34;200
46_5;24,1;2,4;64,2;170,6;10;1;150;130;0;10;;70;70;40;100
46_6;24,1;2,4;64,2;186;0,5;0,5;739,3;137;40;40;;70;71;19;50
47_1;24,1;2,4;64,2;186,1;0,5;0,5;603;151;30;30;;70;66;5;125
47_2;24,1;2,4;64,2;187;1,5;1,5;508,4;144;55;55;;70;50;14;75
47_3;24,1;2,4;64,2;193,6;1;1;642,5;152;40;40;;70;50;5;100
47_4;24,1;2,4;64,2;186,5;2;2;690,8;140;20;20;;70;57;12;125
47_5;24,1;2,4;64,2;172,1;1;1;739,5;137;30;30;;70;48;7;75
47_6;24,1;2,4;64,2;152;1;1;459;145;20;20;;70;49;4;125
48_1;29,5;5;59,9;183,1;1;1;694;140;45;45;;70;37;5;125
48_2;29,5;5;59,9;167,7;1;1;587,5;131;15;15;;70;28;17;100
48_3;29,5;5;59,9;159;1;1;640,6;155;25;25;;70;;;
48_4;29,5;5;59,9;171,1;1,5;1,5;630,6;139;30;30;;70;41;10;125
48_5;29,5;5;59,9;162,5;1;1;711;144;50;50;;70;47;10;150
48_6;29,5;5;59,9;168,1;1;1;677;138;90;90;;70;54;9;100
49_1;29,5;5;59,9;168,4;1;1;813,1;145;85;85;;70;40;14;125
49_2;29,5;5;59,9;157,8;0,5;0,5;750,3;153;75;75;;70;63;17;225
49_3;29,5;5;59,9;167,2;1;1;781,9;147;70;70;;70;74;15;125
49_4;29,5;5;59,9;164,4;1;1;702,1;147;30;30;;70;72;7;75
49_5;29,5;5;59,9;157;1;1;738,6;174;65;65;;70;69;36;175
49_6;29,5;5;59,9;175,9;1;1;702;165;95;95;;70;58;8;75
50_1;29,5;5;59,9;163,3;0,5;0,5;816,2;150;90;90;;70;35;19;50
50_2;29,5;5;59,9;183,8;1;1;697,5;150;50;50;;70;40;17;75
50_3;29,5;5;59,9;166,2;0,5;0,5;658,1;141;85;85;;70;40;12;50
50_4;29,5;5;59,9;178,9;1;1;848,2;147;80;80;;70;50;22;125
50_5;29,5;5;59,9;181,6;1;1;763,2;143;95;95;;70;33;15;75
50_6;29,5;5;59,9;165;1;1;638,5;149;75;75;;70;49;36;75
51_1;29,5;5;59,9;194,6;1;1;536,4;134;15;15;;70;68;7;150
51_2;29,5;5;59,9;172,8;1;1;736,3;141;30;30;;70;45;18;125
51_3;29,5;5;59,9;185,9;1;1;552,4;151;60;60;;70;45;5;100
51_4;29,5;5;59,9;179,6;1;1;717,8;147;60;60;;70;32;5;50
51_5;29,5;5;59,9;168,2;0,5;0,5;791,9;131;40;40;;70;32;5;75
51_6;29,5;5;59,9;190;1;1;712,4;139;30;30;;70;40;5;100
52_1;29,5;5;59,9;170,5;0,5;0,5;628;149;80;80;;70;77;19;25
52_2;29,5;5;59,9;177,6;0,5;0,5;709;145;85;85;;70;61;23;25
52_3;29,5;5;59,9;168,7;0,5;0,5;597,4;143;35;35;;70;50;7;25
52_4;29,5;5;59,9;169,9;0,5;0,5;593;138;45;45;pas de vidéo;70;80;14;25
52_5;29,5;5;59,9;165,8;0,5;0,5;667,1;140;50;50;;70;51;5;10
52_6;29,5;5;59,9;173,7;0,5;0,5;544;141;25;25;;70;74;18;25
53_1;26,1;0;77,4;169,5;0,5;0,5;811,3;136;40;40;;70;50;16;125
53_2;26,1;2;77,4;186,4;0,5;0,5;737,9;135;45;45;;70;72;16;100
53_3;26,1;2;77,4;167,9;0,5;0,5;710,4;139;90;90;;70;36;21;25
53_4;26,1;0;77,4;199,2;0,5;0,5;665,4;143;60;60;;70;54;17;50
53_5;26,1;0;77,4;150,4;0,5;0,5;677;131;45;45;;70;50;16;75
53_6;26,1;2;77,4;194,2;0,5;0,5;601,4;150;65;65;pas de feuiles presque;70;61;38;75
54_1;26,1;0;77,4;164,8;0,5;0,5;637,7;139;70;70;;70;36;18;25
