"";"ID_echantillon";"ID_Feuille";"Esp";"Masse_F_T0";"Masse_F_T24";"Masse_F_Tsec";"Longueur_F";"Largeur_F";"Surface_F";"LMC_t0";"LMC_t24";"LDMC";"SLA";"LT"
"101";"04_3";"04_3_1";"Grevillea_rubiginosa";0,799;0,467;NA;NA;NA;16,715;NA;NA;NA;NA;NA
"102";"04_3";"04_3_2";"Grevillea_rubiginosa";0,719;0,406;NA;NA;NA;15,247;NA;NA;NA;NA;NA
"103";"04_3";"04_3_3";"Grevillea_rubiginosa";0,675;0,366;NA;NA;NA;14,486;NA;NA;NA;NA;NA
"104";"04_3";"04_3_4";"Grevillea_rubiginosa";0,828;0,483;NA;NA;NA;16,88;NA;NA;NA;NA;NA
"105";"04_3";"04_3_5";"Grevillea_rubiginosa";0,628;0,36;NA;NA;NA;13,956;NA;NA;NA;NA;NA
"106";"04_4";"04_4_1";"Grevillea_rubiginosa";0,934;0,493;NA;NA;NA;19;NA;NA;NA;NA;NA
"107";"04_4";"04_4_2";"Grevillea_rubiginosa";0,908;0,533;NA;NA;NA;17,288;NA;NA;NA;NA;NA
"108";"04_4";"04_4_3";"Grevillea_rubiginosa";0,622;0,321;NA;NA;NA;13,414;NA;NA;NA;NA;NA
"109";"04_4";"04_4_4";"Grevillea_rubiginosa";1,658;0,91;NA;NA;NA;31,722;NA;NA;NA;NA;NA
"110";"04_4";"04_4_5";"Grevillea_rubiginosa";1,588;0,828;NA;NA;NA;31,199;NA;NA;NA;NA;NA
"111";"04_5";"04_5_1";"Grevillea_rubiginosa";0,569;0,334;NA;NA;NA;14,627;NA;NA;NA;NA;NA
"112";"04_5";"04_5_2";"Grevillea_rubiginosa";0,82;0,508;NA;NA;NA;20,501;NA;NA;NA;NA;NA
"113";"04_5";"04_5_3";"Grevillea_rubiginosa";0,426;0,277;NA;NA;NA;10,848;NA;NA;NA;NA;NA
"114";"04_5";"04_5_4";"Grevillea_rubiginosa";0,412;0,24;NA;NA;NA;10,777;NA;NA;NA;NA;NA
"115";"04_5";"04_5_5";"Grevillea_rubiginosa";0,854;0,547;NA;NA;NA;21,149;NA;NA;NA;NA;NA
"116";"04_6";"04_6_1";"Grevillea_rubiginosa";0,819;0,508;NA;NA;NA;17,836;NA;NA;NA;NA;NA
"117";"04_6";"04_6_2";"Grevillea_rubiginosa";0,487;0,282;NA;NA;NA;11,443;NA;NA;NA;NA;NA
"118";"04_6";"04_6_3";"Grevillea_rubiginosa";1,109;0,669;NA;NA;NA;22,838;NA;NA;NA;NA;NA
"119";"04_6";"04_6_4";"Grevillea_rubiginosa";0,743;0,454;NA;NA;NA;16,755;NA;NA;NA;NA;NA
